ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"10uF"	"C1,C2,C3,C4,C5,C6,C7"	"C0805"	"7"	"CL21B106KOQNNNE"	"SAMSUNG(三星)"	"LCSC"	"C95841"	"0.005"
"2"	"SM02B-SRSS-TB (LF)(SN)"	"CLK_A,CLK_B"	"CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN"	"2"	"SM02B-SRSS-TB(LF)(SN)"	"JST"	"LCSC"	"C160402"	"0.017"
"3"	"DF3A-2P-2DS"	"DC"	"CONN-TH_DF3A-2P-2DS"	"1"	"DF3A-2P-2DS"	"HRS(广濑)"	"LCSC"	"C531024"	"0.02"
"4"	"TLC-MSMD200"	"F1"	"F1812"	"1"	"TLC-MSMD200"	"TLC(竞沃)"	"LCSC"	"C262032"	"0.01"
"5"	"DF11-4DP-2DS(24)"	"OGX360"	"CONN-TH_DF11-4DP-2DS-24"	"1"	"DF11-4DP-2DS(24)"	"Hirose"	"LCSC"	"C202087"	"0.052"
"6"	"B12B-PHDSS"	"PORT_A,PORT_B"	"CONN-TH_S12B-PHDSS-LF-SN"	"2"	"B12B-PHDSS(LF)(SN)"	"JST"	"LCSC"	"C265113"	"0.052"
"7"	"10kΩ"	"R1"	"R0805"	"1"	"0805W8J0107T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C53884"	"0.001"
"8"	"10KΩ"	"R2"	"R0805"	"1"	"0805W8J0107T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C53884"	"0.001"
"9"	"SL2.1A-SOP16"	"U1"	"SOP-16_L10.0-W3.9-P1.27-LS6.0-BL"	"1"	"SL2.1A"	"CoreChips"	"LCSC"	"C192893"	"0.055"
"10"	"TPS2116DRLR"	"U2"	"SOT-583-8_L2.1-W1.6-P0.50-LS1.6-BL"	"1"	"TPS2116DRLR"	"TI(德州仪器)"	"LCSC"	"C3235557"	"0.163"
"11"	"12MHz"	"Y1"	"OSC-SMD_L11.5-W4.8-LS13.0"	"1"	"49SBT12000181060"	"JGHC(晶光华)"	"LCSC"	"C390753"	"0.016"
